page_group,url_pattern,full_url,pixel_event_primary,pixel_event_secondary,recommended_params,implementation_notes
"app","/digest","https://www.contractorleads.us/digest","PageView","ViewContent","path,url",""
"public","/email/preferences","https://www.contractorleads.us/email/preferences","PageView","","path,url",""
"public","/email/unsubscribe","https://www.contractorleads.us/email/unsubscribe","PageView","","path,url",""
"public","/enterprise/book","https://www.contractorleads.us/enterprise/book","PageView","Lead","path,url","Fire Lead when enterprise form submits successfully"
"app","/facebook","https://www.contractorleads.us/facebook","PageView","","path,url",""
"public","/features","https://www.contractorleads.us/features","PageView","ViewContent","path,url",""
"auth","/forgot-password","https://www.contractorleads.us/forgot-password","PageView","","path,url",""
"app","/home","https://www.contractorleads.us/home","PageView","","path,url",""
"app","/inbox","https://www.contractorleads.us/inbox","PageView","","path,url",""
"app","/industries","https://www.contractorleads.us/industries","PageView","","path,url",""
"leads","/leads","https://www.contractorleads.us/leads","PageView","ViewContent","path,url",""
"leads","/leads/[id]","https://www.contractorleads.us/leads/[id]","PageView","ViewContent|Lead","path,url","Fire Lead when save/send-email actions succeed"
"leads","/leads/[id]/qualification/[scoreKey]","https://www.contractorleads.us/leads/[id]/qualification/[scoreKey]","PageView","","path,url",""
"leads","/leads/hot","https://www.contractorleads.us/leads/hot","PageView","ViewContent","path,url",""
"leads","/leads/map","https://www.contractorleads.us/leads/map","PageView","","path,url",""
"leads","/leads/pipeline","https://www.contractorleads.us/leads/pipeline","PageView","","path,url",""
"leads","/leads/saved","https://www.contractorleads.us/leads/saved","PageView","","path,url",""
"leads","/leads/search","https://www.contractorleads.us/leads/search","PageView","","path,url",""
"auth","/login","https://www.contractorleads.us/login","PageView","","path,url",""
"public","/onboarding","https://www.contractorleads.us/onboarding","PageView","","path,url",""
"public","/pricing","https://www.contractorleads.us/pricing","PageView","ViewContent","path,url",""
"auth","/privacy","https://www.contractorleads.us/privacy","PageView","","path,url",""
"app","/referrals","https://www.contractorleads.us/referrals","PageView","","path,url",""
"auth","/register","https://www.contractorleads.us/register","PageView","CompleteRegistration","path,url","Fire CompleteRegistration on successful register action"
"app","/reports","https://www.contractorleads.us/reports","PageView","","path,url",""
"auth","/reset-password","https://www.contractorleads.us/reset-password","PageView","","path,url",""
"app","/scripts","https://www.contractorleads.us/scripts","PageView","","path,url",""
"app","/settings","https://www.contractorleads.us/settings","PageView","","path,url",""
"app","/settings/security","https://www.contractorleads.us/settings/security","PageView","","path,url",""
"app","/setup","https://www.contractorleads.us/setup","PageView","","path,url",""
"app","/setup/api","https://www.contractorleads.us/setup/api","PageView","","path,url",""
"app","/setup/crm","https://www.contractorleads.us/setup/crm","PageView","","path,url",""
"app","/setup/email","https://www.contractorleads.us/setup/email","PageView","","path,url",""
"app","/sms","https://www.contractorleads.us/sms","PageView","","path,url",""
"app","/team","https://www.contractorleads.us/team","PageView","","path,url",""
"auth","/terms","https://www.contractorleads.us/terms","PageView","","path,url",""
"public","/trades","https://www.contractorleads.us/trades","PageView","","path,url",""
"public","/trades/[slug]","https://www.contractorleads.us/trades/[slug]","PageView","","path,url",""
"public","/trades/[slug]/[region]","https://www.contractorleads.us/trades/[slug]/[region]","PageView","","path,url",""
"auth","/verify-email","https://www.contractorleads.us/verify-email","PageView","CompleteRegistration","path,url","Fire CompleteRegistration when email verification succeeds"
